INDEX,STORY,GT,PREDICTED,
2447,hzqqn.66.story,3,1 0 4 ,
4765,12he9h.2.story,13,15 0 6 ,
1497,pwlhs.26.story,6 7 ,0 3 1 ,
4178,oeo0h.77.story,4 5 ,0 5 3 ,original
631,11urgx.4.story,2 3 4 ,0 3 5 ,
2520,uie6f.16.story,5,17 10 4 ,8 75 50
1263,vfxbo.79.story,13,3 8 16 ,pres:0.10666666666666667 recall:0.16
1064,vfxbo.22.story,10,12 5 6 ,
2165,1h7qys.27.story,17 18 8 9 ,7 14 0 ,
4634,27fdf1.1.story,6 8 ,3 5 0 ,
848,27fdf1.15.story,11 13 4 ,0 8 2 ,
3344,1air31.37.story,13 14 15 16 ,13 17 12 ,
4088,1air31.29.story,16 18 7 ,12 0 8 ,
1856,1h7qys.44.story,0,0 4 3 ,
1871,uie6f.25.story,8,5 4 10 ,
356,1air31.21.story,2 3 ,1 0 5 ,
3257,oeo0h.35.story,10 11 12 7 8 9 ,2 0 10 ,
2508,vfxbo.34.story,4 5 ,0 5 6 ,
1239,1r034d.24.story,10 11 ,0 9 7 ,
271,hzqqn.28.story,11,3 0 5 ,
3314,y9dex.40.story,4 5 ,2 17 14 ,
1540,vfxbo.120.story,18,19 0 10 ,
2228,vfxbo.59.story,3 4 ,0 3 5 ,
2592,vfxbo.55.story,3,1 0 3 ,
2192,vfxbo.99.story,10,0 4 12 ,
