INDEX,STORY,GT,PREDICTED,,,,
2447,hzqqn.66.story,3,4 3 2 ,,,,
4765,12he9h.2.story,13,15 6 12 ,,,,
1497,pwlhs.26.story,6 7 ,3 9 8 ,,,,
4178,oeo0h.77.story,4 5 ,5 3 6 ,,,,
631,11urgx.4.story,2 3 4 ,3 5 4 ,,,,
2520,uie6f.16.story,5,17 10 4 ,,,,
1263,vfxbo.79.story,13,3 8 16 ,,,,
1064,vfxbo.22.story,10,12 5 6 ,,,,
2165,1h7qys.27.story,17 18 8 9 ,7 14 11 ,,,,"Remove [0, 1] indexes from predictions (not altering ground truth)"
4634,27fdf1.1.story,6 8 ,3 5 2 ,,,,
848,27fdf1.15.story,11 13 4 ,8 2 10 ,,,,
3344,1air31.37.story,13 14 15 16 ,13 17 12 ,,,,
4088,1air31.29.story,16 18 7 ,12 8 4 ,,,,
1856,1h7qys.44.story,0,4 3 5 ,,,,
1871,uie6f.25.story,8,5 4 10 ,,,,
356,1air31.21.story,2 3 ,5 4 3 ,,13 69 48,,
3257,oeo0h.35.story,10 11 12 7 8 9 ,2 10 9 ,,pres:0.18840579710144928 recall:0.2708333333333333,,
2508,vfxbo.34.story,4 5 ,5 6 4 ,,,,
1239,1r034d.24.story,10 11 ,9 7 11 ,,,,
271,hzqqn.28.story,11,3 5 9 ,,,,
3314,y9dex.40.story,4 5 ,2 17 14 ,,,,
1540,vfxbo.120.story,18,19 10 13 ,,,,
2228,vfxbo.59.story,3 4 ,3 5 4 ,,,,
