INDEX,STORY,GT,PREDICTED
11,hzqqn.74.story,7 8 ,4 9 3 
26,1mg1dm.30.story,10 7 9 ,10 5 8 
36,27fdf1.11.story,3 ,4 3 2 
40,vfxbo.19.story,,2 4 5 
43,bhbyx.5.story,18 29 30 31 32 36 40 41 42 ,40 37 28 
44,oeo0h.42.story,3 ,4 3 2 
53,vfxbo.24.story,,4 6 19 
59,12he9h.8.story,6 ,8 7 6 
86,11urgx.20.story,2 3 ,4 3 2 
131,bhbyx.22.story,13 14 15 16 ,13 9 5 
144,pwlhs.26.story,6 7 ,3 9 8 
153,vfxbo.27.story,8 ,7 9 10 
163,1cy98r.15.story,6 7 ,8 4 7 
182,vfxbo.42.story,5 ,4 3 2 
190,oeo0h.61.story,10 11 12 ,10 6 15 
205,oeo0h.78.story,2 ,5 4 3 
214,1h7qys.25.story,22 23 24 ,5 17 9 
216,vfxbo.4.story,15 16 17 ,6 15 4 
235,hzqqn.12.story,34 35 ,10 9 7 
247,hzqqn.66.story,3 ,4 3 2 
264,oeo0h.2.story,15 ,12 8 5 
271,vfxbo.115.story,17 18 ,3 18 5 
301,bhbyx.70.story,26 27 28 29 44 45 ,24 37 63 
310,oeo0h.4.story,8 ,10 7 8 
325,bhbyx.54.story,11 12 ,6 12 4 
